name,price,mileage,transmission,range_km,fuel,city,road_accident,link
Volkswagen Passat 2023,23 300 $,194 тис. км,Автомат,,"Дизель, 1.97 л",Свалява,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_passat_39895419.html
Volkswagen Passat 2022,21 900 $,221 тис. км,Автомат,,"Дизель, 1.97 л",Свалява,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_passat_39887568.html
Audi Q7 2010,16 850 $,197 тис. км,Автомат,,"Дизель, 3 л",Вишнівець,Не був у ДТП,https://auto.ria.com/uk/auto_audi_q7_39958615.html
Volkswagen Passat 1997,3 400 $,208 тис. км,Ручна / Механіка,,Бензин,Берегове,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_passat_40032462.html
Volkswagen Tiguan 2020,18 450 $,98 тис. км,Автомат,,"Бензин, 1.98 л",Брюховичі,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_tiguan_40022012.html
Volkswagen Passat 2011,7 800 $,254 тис. км,Автомат,,"Бензин, 1.39 л",Тернопіль,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_passat_40024766.html
Audi Q7 2021,34 999 $,167 тис. км,Автомат,,"Бензин, 3 л",Луцьк,Не був у ДТП,https://auto.ria.com/uk/auto_audi_q7_40037211.html
Volkswagen Golf 2013,9 500 $,271 тис. км,Ручна / Механіка,,"Дизель, 1.6 л",Кременець,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_golf_39971894.html
Audi A4 2017,16 200 $,195 тис. км,Автомат,,"Бензин, 1.98 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_audi_a4_39561537.html
BMW 5 Series 2017,21 799 $,185 тис. км,Автомат,,"Бензин, 2 л",Івано-Франківськ,Був у ДТП,https://auto.ria.com/uk/auto_bmw_5-series_39980299.html
Mercedes-Benz Sprinter 2022,26 900 $,349 тис. км,Автомат,,"Дизель, 2 л",Тернопіль,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_39585878.html
Audi A4 2022,23 500 $,94 тис. км,Автомат,,"Бензин, 2 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_audi_a4_39929553.html
Volkswagen Tiguan 2021,29 800 $,90 тис. км,Автомат,,"Бензин, 1.98 л",Кривий Ріг,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_tiguan_39838851.html
Audi A4 2017,13 300 $,223 тис. км,Автомат,,"Бензин, 1.98 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_audi_a4_39904778.html
Land Rover Range Rover 2023,159 000 $,93 тис. км,Автомат,,"Бензин, 4.39 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover_40026857.html
Volkswagen Golf 2020,15 100 $,237 тис. км,Автомат,,"Дизель, 2 л",Свалява,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_golf_39741643.html
Porsche Cayenne 2023,115 000 $,19 тис. км,Автомат,,"Бензин, 4 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_porsche_cayenne_38607862.html
Audi A4 2020,21 999 $,110 тис. км,Автомат,,"Бензин, 1.98 л",Дніпро (Дніпропетровськ),Був у ДТП,https://auto.ria.com/uk/auto_audi_a4_40028820.html
Land Rover Range Rover 2018,56 000 $,152 тис. км,Автомат,,"Бензин, 5 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover_39928915.html
Mazda CX-5 2016,18 500 $,119 тис. км,Автомат,,"Дизель, 2.2 л",Луцьк,Не був у ДТП,https://auto.ria.com/uk/auto_mazda_cx-5_40023055.html
Новий GWM Haval H6 2025,25 635 $,Без пробігу,Роботизована,,"Бензин, 2 л",Київ,Не був у ДТП,https://auto.ria.com/uk/newauto/auto-gwm-haval-h6-2042863.html
Land Rover Range Rover 2019,55 000 $,155 тис. км,Автомат,,"Дизель, 2.99 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover_39732053.html
Audi A4 2017,20 000 $,191 тис. км,Автомат,,"Дизель, 1.97 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_audi_a4_39814460.html
Peugeot 3008 2013,9 750 $,230 тис. км,Ручна / Механіка,,"Дизель, 1.6 л",Стрий,Не був у ДТП,https://auto.ria.com/uk/auto_peugeot_3008_40038896.html
Porsche Macan 2016,33 000 $,153 тис. км,Автомат,,"Дизель, 2.97 л",Хмельницький,Не був у ДТП,https://auto.ria.com/uk/auto_porsche_macan_39545151.html
Volkswagen Passat Alltrack 2021,25 900 $,209 тис. км,Автомат,,"Дизель, 2 л",Стрий,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_passat-alltrack_40031450.html
Volkswagen Golf 2022,19 331 $,157 тис. км,Автомат,,"Дизель, 2 л",Луцьк,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_golf_39342641.html
Volkswagen Tiguan 2020,23 500 $,74 тис. км,Автомат,,"Бензин, 2 л",Стрий,Був у ДТП,https://auto.ria.com/uk/auto_volkswagen_tiguan_40017091.html
Audi Q5 2019,26 999 $,112 тис. км,Автомат,,"Бензин, 2 л",Стрий,Був у ДТП,https://auto.ria.com/uk/auto_audi_q5_39985755.html
Новий Renault Master 2026,37 784 $,Без пробігу,Механічна,,"Дизель, 2 л",Кропивницький (Кіровоград),Не був у ДТП,https://auto.ria.com/uk/newauto/auto-renault-master-2049153.html
Porsche Macan 2019,44 000 $,71 тис. км,Автомат,,"Бензин, 3 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_porsche_macan_39832535.html
Renault Master 2018,16 200 $,298 тис. км,Ручна / Механіка,,"Дизель, 2.3 л",Зборів,Не був у ДТП,https://auto.ria.com/uk/auto_renault_master_39953227.html
Mazda CX-5 2015,15 700 $,118 тис. км,Автомат,,"Дизель, 2.19 л",Ковель,Не був у ДТП,https://auto.ria.com/uk/auto_mazda_cx-5_39942891.html
