name,price,mileage,transmission,range_km,fuel,city,road_accident,link
Skoda Superb 2024,46 018 $,36 тис. км,Робот,,"Бензин, 1.98 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_skoda_superb_40024578.html
Toyota Land Cruiser 1995,25 000 $,300 тис. км,Ручна / Механіка,,"Дизель, 3 л",Васильків,Не був у ДТП,https://auto.ria.com/uk/auto_toyota_land-cruiser_40024274.html
Toyota Camry 2023,34 700 $,75 тис. км,Варіатор,,"Гібрид, 2.49 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_toyota_camry_39539230.html
Nissan Altima 2017,9 800 $,216 тис. км,Варіатор,,2.5 л,Кам'янське (Дніпродзержинськ),Був у ДТП,https://auto.ria.com/uk/auto_nissan_altima_38620382.html
Lexus NX 2024,53 300 $,29 тис. км,Варіатор,,"Гібрид, 2.49 л",Васильків,Не був у ДТП,https://auto.ria.com/uk/auto_lexus_nx_40021110.html
BMW X1 2013,14 550 $,147 тис. км,Автомат,,"Дизель, 2 л",Кам'янець-Подільський,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x1_38951920.html
Skoda Kodiaq 2022,36 500 $,140 тис. км,Робот,,"Дизель, 1.97 л",Полтава,Не був у ДТП,https://auto.ria.com/uk/auto_skoda_kodiaq_39956870.html
Hyundai Sonata 2016,10 700 $,136 тис. км,Автомат,,"Бензин, 2.36 л",Рівне (Рівненська),Був у ДТП,https://auto.ria.com/uk/auto_hyundai_sonata_40019109.html
Renault Trafic 2021,16 955 $,225 тис. км,Ручна / Механіка,,"Дизель, 2 л",Бердичів,Не був у ДТП,https://auto.ria.com/uk/auto_renault_trafic_39465078.html
Lexus LX 2014,39 700 $,319 тис. км,Автомат,,"Газ/Бензин, 5.7 л",Пирятин,Не був у ДТП,https://auto.ria.com/uk/auto_lexus_lx_39387445.html
Land Rover Discovery Sport 2017,20 000 $,117 тис. км,Автомат,,"Дизель, 2 л",Чернівці (Чернівецька),Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_discovery-sport_39734024.html
Tesla Model Y 2025,40 700 $,18 тис. км,,Не вказано,"Електро, 82 кВт·год",Київ,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-y_40013881.html
Peugeot 308 2012,5 900 $,270 тис. км,Ручна / Механіка,,"Дизель, 1.6 л",Чорноморськ (Іллічівськ),Не був у ДТП,https://auto.ria.com/uk/auto_peugeot_308_39595255.html
Tesla Model X 2020,34 999 $,106 тис. км,,490 км,"Електро, 100 кВт·год",Київ,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-x_39352176.html
Skoda Kodiaq 2025,49 000 $,22 тис. км,Робот,,"Бензин, 1.98 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_skoda_kodiaq_40011179.html
Mercedes-Benz B-Class 2007,6 500 $,202 тис. км,Автомат,,"Бензин, 1.7 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_b-class_39868522.html
Land Rover Range Rover Velar 2018,29 900 $,104 тис. км,Автомат,,"Дизель, 2 л",Івано-Франківськ,Був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover-velar_39606699.html
Tesla Model Y 2022,25 500 $,49 тис. км,,480 км,Електро,Трускавець,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-y_39729610.html
Audi A8 2017,21 500 $,147 тис. км,Автомат,,"Бензин, 3 л",Рівне (Рівненська),Був у ДТП,https://auto.ria.com/uk/auto_audi_a8_40005162.html
BMW X5 2021,49 500 $,98 тис. км,Автомат,,"Дизель, 2 л",Стрий,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_39094816.html
Lexus ES 2016,18 900 $,302 тис. км,Варіатор,,"Гібрид, 2.49 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_lexus_es_40001507.html
Nissan Rogue 2017,21 000 $,152 тис. км,Варіатор,,"Бензин, 2.49 л",Лубни,Був у ДТП,https://auto.ria.com/uk/auto_nissan_rogue_39994406.html
Jeep Cherokee 2022,24 100 $,28 тис. км,Автомат,,"Бензин, 3.24 л",Тернопіль,Був у ДТП,https://auto.ria.com/uk/auto_jeep_cherokee_39683011.html
Volkswagen Touareg 2020,41 900 $,138 тис. км,Автомат,,"Дизель, 2.97 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_touareg_39982305.html
Audi Q5 2021,31 000 $,118 тис. км,Автомат,,"Бензин, 1.98 л",Луцьк,Був у ДТП,https://auto.ria.com/uk/auto_audi_q5_39981259.html
Tesla Model X 2019,26 000 $,86 тис. км,,Не вказано,"Електро, 100 кВт·год",Чорноморськ (Іллічівськ),Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-x_39979890.html
Audi A4 2021,23 000 $,62 тис. км,Автомат,,"Бензин, 1.98 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_audi_a4_38317290.html
BMW X5 2019,56 500 $,123 тис. км,Автомат,,"Дизель, 2.99 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_39833467.html
Audi Q5 2017,29 000 $,155 тис. км,Автомат,,"Дизель, 1.97 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_audi_q5_39836614.html
Audi Q5 2022,40 000 $,98 тис. км,Автомат,,"Гібрид, 2 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_audi_q5_39698394.html
BMW 3 Series 2023,39 690 $,20 тис. км,Автомат,,"Бензин, 2 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_bmw_3-series_39951999.html
Audi Q8 2020,54 950 $,116 тис. км,Автомат,,"Бензин, 3 л",Чернівці (Чернівецька),Був у ДТП,https://auto.ria.com/uk/auto_audi_q8_39737591.html
Mercedes-Benz GLE-Class 2021,59 300 $,218 тис. км,Автомат,,"Дизель, 2.93 л",Чернівці (Чернівецька),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_39938132.html
BMW X5 2014,26 000 $,262 тис. км,Автомат,,"Дизель, 2.99 л",Запоріжжя,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_39932442.html
BMW X7 2020,79 900 $,127 тис. км,Автомат,,"Дизель, 2.99 л",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_39931500.html
Tesla Model Y 2025,45 500 $,9 тис. км,,586 км,"Електро, 82 кВт·год",Київ,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-y_39660681.html
BMW X3 2011,11 000 $,187 тис. км,Автомат,,"Бензин, 2.98 л",Трускавець,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_37923829.html
Toyota RAV4 2019,20 900 $,76 тис. км,Варіатор,,"Бензин, 1.99 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_toyota_rav4_39780231.html
Mercedes-Benz GLE-Class 2020,78 999 $,105 тис. км,Автомат,,"Гібрид, 3.98 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_39904366.html
Volkswagen Tiguan Allspace 2019,20 999 $,129 тис. км,Автомат,,"Бензин, 2 л",Трускавець,Був у ДТП,https://auto.ria.com/uk/auto_volkswagen_tiguan-allspace_40039401.html
Honda CR-V 2008,11 500 $,137 тис. км,Автомат,,"Газ/Бензин, 2.4 л",Дніпро (Дніпропетровськ),Не був у ДТП,https://auto.ria.com/uk/auto_honda_cr-v_40025357.html
Mercedes-Benz CLA-Class 2016,18 900 $,68 тис. км,Автомат,,"Бензин, 1.6 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_cla-class_40036976.html
JCB 540-140 2021,61 349 $,Без пробігу,Автомат,,Дизель,Тернопіль,Не був у ДТП,https://auto.ria.com/uk/auto_jcb_540-140_40036925.html
Mercedes-Benz B-Class 2016,10 900 $,140 тис. км,,Не вказано,"Електро, 32 кВт·год",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_b-class_40035034.html
Audi A4 2004,4 999 $,224 тис. км,Автомат,,"Бензин, 1.8 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_audi_a4_39753219.html
Renault Master 2021,23 500 $,157 тис. км,Ручна / Механіка,,"Дизель, 2.3 л",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_renault_master_40033411.html
Mazda CX-5 2024,26 500 $,17 тис. км,Автомат,,"Бензин, 2.49 л",Біла Церква,Був у ДТП,https://auto.ria.com/uk/auto_mazda_cx-5_39935631.html
BMW X5 2019,54 000 $,83 тис. км,Автомат,,"Бензин, 3 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_39806630.html
BMW 4 Series 2014,17 500 $,215 тис. км,Автомат,,"Бензин, 2 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_bmw_4-series_39895513.html
BMW X5 2011,21 000 $,225 тис. км,Автомат,,"Дизель, 2.99 л",Сміла,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_40031189.html
BMW X5 2021,56 000 $,51 тис. км,Автомат,,"Бензин, 3 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_40030561.html
BMW X5 2020,39 500 $,227 тис. км,Автомат,,"Бензин, 3 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_40028531.html
Land Rover Range Rover 2019,79 999 $,49 тис. км,Автомат,,"Дизель, 2.99 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover_39527978.html
Land Rover Range Rover 2020,89 999 $,121 тис. км,Автомат,,"Дизель, 4.37 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover_37858660.html
Mercedes-Benz E-Class 2016,27 000 $,119 тис. км,Не вказано,,"Бензин, 1.99 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_e-class_39894221.html
Porsche Macan 2019,39 000 $,106 тис. км,Автомат,,"Бензин, 3 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_porsche_macan_39069202.html
Mercedes-Benz Sprinter 2019,42 000 $,210 тис. км,Автомат,,"Дизель, 2.1 л",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_40025425.html
Volkswagen T-Roc 2025,29 500 $,15 тис. км,Автомат,,"Бензин, 1.4 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_t-roc_39828065.html
Porsche Macan 2015,15 900 $,219 тис. км,Автомат,,"Бензин, 3 л",Рівне (Рівненська),Був у ДТП,https://auto.ria.com/uk/auto_porsche_macan_39495514.html
Mercedes-Benz M-Class 2014,22 900 $,142 тис. км,Автомат,,"Дизель, 2.14 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_m-class_39984159.html
Audi Q7 2017,26 300 $,172 тис. км,Автомат,,"Бензин, 3 л",Могилів-Подільський,Був у ДТП,https://auto.ria.com/uk/auto_audi_q7_39890885.html
Land Rover Range Rover Velar 2020,38 000 $,80 тис. км,Автомат,,"Дизель, 2 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover-velar_40023622.html
Audi Q8 2018,51 000 $,147 тис. км,Автомат,,"Бензин, 3 л",Біла Церква,Не був у ДТП,https://auto.ria.com/uk/auto_audi_q8_39884990.html
BMW X5 2020,43 000 $,70 тис. км,Автомат,,"Бензин, 3 л",Луцьк,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_40022448.html
BMW X4 2022,50 000 $,40 тис. км,Автомат,,"Бензин, 2 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x4_40022317.html
Volvo XC60 2012,15 300 $,271 тис. км,Автомат,,"Газ/Бензин, 2.95 л",Рівне (Рівненська),Був у ДТП,https://auto.ria.com/uk/auto_volvo_xc60_40021710.html
Audi Q4 e-tron 2021,27 000 $,84 тис. км,,360 км,Електро,Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_audi_q4-e-tron_39628883.html
Lexus ES 2023,44 838 $,19 тис. км,Автомат,,"Бензин, 2.49 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_lexus_es_40016919.html
BMW 3 Series 1987,2 200 $,395 тис. км,Ручна / Механіка,,"Бензин, 1.8 л",Кривий Ріг,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_3-series_36080692.html
Tesla Model Y 2024,29 500 $,30 тис. км,,514 км,"Електро, 82 кВт·год",Київ,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-y_40010129.html
Audi Q5 2022,35 600 $,28 тис. км,Автомат,,"Бензин, 2 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_audi_q5_39013301.html
Tesla Model Y 2021,23 999 $,77 тис. км,,Не вказано,"Електро, 82 кВт·год",Дніпро (Дніпропетровськ),Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-y_39868498.html
Audi A3 2005,7 600 $,110 тис. км,Автомат,,"Бензин, 1.6 л",Кривий Ріг,Не був у ДТП,https://auto.ria.com/uk/auto_audi_a3_39994079.html
Land Rover Range Rover Evoque 2023,51 500 $,36 тис. км,Не вказано,,"Дизель, 2 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover-evoque_39993593.html
Hyundai Elantra 2018,13 400 $,148 тис. км,Автомат,,"Бензин, 2 л",Біла Церква,Не був у ДТП,https://auto.ria.com/uk/auto_hyundai_elantra_39991918.html
Porsche Cayenne Coupe 2020,83 000 $,82 тис. км,Автомат,,"Бензин, 4 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_porsche_cayenne-coupe_39719579.html
Audi A6 2023,44 000 $,38 тис. км,Робот,,"Бензин, 1.98 л",Кривий Ріг,Був у ДТП,https://auto.ria.com/uk/auto_audi_a6_39990181.html
Toyota Land Cruiser Prado 2022,50 900 $,94 тис. км,Автомат,,"Газ/Бензин, 3.96 л",Голованівськ,Не був у ДТП,https://auto.ria.com/uk/auto_toyota_land-cruiser-prado_39989869.html
Porsche Cayenne 2018,54 000 $,100 тис. км,Автомат,,"Бензин, 4 л",Ужгород,Був у ДТП,https://auto.ria.com/uk/auto_porsche_cayenne_38800913.html
BMW X6 2017,26 900 $,160 тис. км,Автомат,,"Бензин, 2.98 л",Підволочиськ,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x6_39979818.html
Audi e-tron Sportback 2020,27 999 $,159 тис. км,,420 км,"Електро, 95 кВт·год",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_audi_e-tron-sportback_39978220.html
BMW X5 2023,83 900 $,57 тис. км,Автомат,,"Бензин, 3 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_39831823.html
Mercedes-Benz GLC-Class 2022,46 900 $,60 тис. км,Автомат,,"Бензин, 1.99 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_glc-class_39973460.html
BMW i7 2023,87 500 $,20 тис. км,,600 км,Електро,Київ,Був у ДТП,https://auto.ria.com/uk/auto_bmw_i7_39526283.html
Porsche Panamera 2019,56 900 $,67 тис. км,Типтронік,,"Гібрид, 2.89 л",Дніпро (Дніпропетровськ),Був у ДТП,https://auto.ria.com/uk/auto_porsche_panamera_39232709.html
Audi S4 2022,40 800 $,54 тис. км,Автомат,,"Бензин, 3 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_audi_s4_39356742.html
BMW X3 2022,39 500 $,54 тис. км,Автомат,,"Бензин, 2 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_39968927.html
Volkswagen Tiguan 2021,24 499 $,73 тис. км,Автомат,,"Бензин, 1.98 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_volkswagen_tiguan_39967479.html
Audi Q5 2017,31 500 $,195 тис. км,Автомат,,"Дизель, 2 л",Софіївська Борщагівка,Був у ДТП,https://auto.ria.com/uk/auto_audi_q5_39966320.html
Ford Focus 2008,5 200 $,305 тис. км,Не вказано,,"Дизель, 1.56 л",Бориспіль,Не був у ДТП,https://auto.ria.com/uk/auto_ford_focus_39822819.html
Audi Q5 2016,27 500 $,202 тис. км,Автомат,,"Дизель, 1.97 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_audi_q5_39439108.html
Hyundai Ioniq 5 2025,38 300 $,1 тис. км,,Не вказано,"Електро, 84 кВт·год",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_hyundai_ioniq-5_39804350.html
Mercedes-Benz GLE-Class 2016,53 500 $,68 тис. км,Автомат,,"Бензин, 5.46 л",Дніпро (Дніпропетровськ),Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_39817233.html
Jeep Grand Cherokee 2020,29 000 $,95 тис. км,Автомат,,"Газ/Бензин, 3.6 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_jeep_grand-cherokee_39955215.html
Hyundai Santa FE 2022,28 700 $,50 тис. км,Автомат,,"Бензин, 2.5 л",Вінниця,Був у ДТП,https://auto.ria.com/uk/auto_hyundai_santa-fe_39954975.html
Mercedes-Benz M-Class 2010,10 200 $,238 тис. км,Автомат,,"Бензин, 3.5 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_m-class_39922174.html
Audi Q5 2024,36 000 $,20 тис. км,Автомат,,"Бензин, 2 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_audi_q5_39522747.html
Lexus LX 2017,59 000 $,183 тис. км,Автомат,,"Дизель, 4.46 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_lexus_lx_39948677.html
Porsche Cayenne 2018,59 000 $,130 тис. км,Автомат,,"Бензин, 2.89 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_porsche_cayenne_39163955.html
Mercedes-Benz C-Class 2022,40 000 $,51 тис. км,Автомат,,"Бензин, 2 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39941413.html
Ford Escape 2020,14 300 $,116 тис. км,Автомат,,"Бензин, 1.5 л",Коломия,Був у ДТП,https://auto.ria.com/uk/auto_ford_escape_39657619.html
Porsche Cayenne 2014,24 000 $,146 тис. км,Автомат,,"Бензин, 3.6 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_porsche_cayenne_37280731.html
Ford Mondeo 2009,6 499 $,325 тис. км,Ручна / Механіка,,"Дизель, 2 л",Хуст,Не був у ДТП,https://auto.ria.com/uk/auto_ford_mondeo_39932689.html
Audi A8 2015,19 000 $,100 тис. км,Автомат,,"Бензин, 3 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_audi_a8_39538231.html
Tesla Model X 2016,17 300 $,191 тис. км,,Не вказано,Електро,Київ,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-x_39646551.html
Audi Q8 2020,45 000 $,264 тис. км,Автомат,,"Дизель, 2.97 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_audi_q8_39926893.html
Mazda CX-5 2023,22 300 $,54 тис. км,Автомат,,"Бензин, 2.5 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_mazda_cx-5_39909282.html
Honda CR-V 2013,16 950 $,157 тис. км,Автомат,,"Дизель, 2.2 л",Івано-Франківськ,Не був у ДТП,https://auto.ria.com/uk/auto_honda_cr-v_39952497.html
Mazda CX-5 2024,25 800 $,40 тис. км,Автомат,,"Бензин, 2.49 л",Луцьк,Був у ДТП,https://auto.ria.com/uk/auto_mazda_cx-5_39725524.html
BMW X7 2021,75 900 $,78 тис. км,Автомат,,"Дизель, 2.99 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_39822276.html
Tesla Model S 2022,31 999 $,59 тис. км,,600 км,"Електро, 100 кВт·год",Черкаси,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-s_37299468.html
Volkswagen Crafter 2015,15 300 $,430 тис. км,Ручна / Механіка,,"Дизель, 2 л",Харків,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_crafter_39493013.html
BMW X5 2021,60 800 $,94 тис. км,Автомат,,"Гібрид, 3 л",Хмельницький,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_39753318.html
Renault Trafic 2021,21 900 $,224 тис. км,Ручна / Механіка,,"Дизель, 2 л",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_renault_trafic_39947971.html
BMW X3 2014,15 600 $,134 тис. км,Автомат,,"Бензин, 2 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_39961951.html
Audi A7 Sportback 2019,44 000 $,77 тис. км,Автомат,,"Бензин, 3 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_audi_a7-sportback_40038968.html
BMW X7 2021,85 500 $,127 тис. км,Автомат,,"Дизель, 2.99 л",Тернопіль,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_39755106.html
Mazda 6 2014,10 800 $,162 тис. км,Автомат,,"Бензин, 2.49 л",Черкаси,Був у ДТП,https://auto.ria.com/uk/auto_mazda_6_40023064.html
Land Rover Range Rover 2016,43 900 $,105 тис. км,Автомат,,"Дизель, 4.37 л",Чернівці (Чернівецька),Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover_39972916.html
Renault Master 2020,24 999 $,206 тис. км,Ручна / Механіка,,"Дизель, 2.3 л",Вінниця,Не був у ДТП,https://auto.ria.com/uk/auto_renault_master_39861385.html
Tesla Model 3 2024,30 999 $,5 тис. км,,629 км,"Електро, 82 кВт·год",Київ,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-3_40037843.html
Lexus RX 2004,8 700 $,250 тис. км,Автомат,,"Газ/Бензин, 3 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_lexus_rx_40036906.html
Tesla Model Y 2024,32 500 $,21 тис. км,,514 км,"Електро, 82 кВт·год",Київ,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-y_40035147.html
Dodge Challenger 2020,21 799 $,45 тис. км,Автомат,,"Бензин, 3.6 л",Дніпро (Дніпропетровськ),Був у ДТП,https://auto.ria.com/uk/auto_dodge_challenger_39893029.html
BMW 5 Series 2013,11 999 $,224 тис. км,Автомат,,"Бензин, 2 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_bmw_5-series_38446766.html
Volvo XC60 2015,18 900 $,190 тис. км,Автомат,,"Бензин, 1.97 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_volvo_xc60_37482958.html
Land Rover Range Rover 2018,52 500 $,197 тис. км,Автомат,,"Бензин, 5 л",Вінниця,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover_40033884.html
Audi Q7 2011,15 700 $,162 тис. км,Автомат,,"Бензин, 3 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_audi_q7_39691740.html
Hyundai Santa FE 2015,15 800 $,149 тис. км,Ручна / Механіка,,Дизель,Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_hyundai_santa-fe_40033351.html
Renault Duster 2021,15 561 $,170 тис. км,Ручна / Механіка,,"Дизель, 1.5 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_renault_duster_39826178.html
Mercedes-Benz Sprinter 2020,26 900 $,133 тис. км,Ручна / Механіка,,"Дизель, 2.2 л",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_40032021.html
Mercedes-Benz Sprinter 2017,27 900 $,174 тис. км,Ручна / Механіка,,"Дизель, 2.2 л",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_40031617.html
Mercedes-Benz Sprinter 2022,48 000 $,295 тис. км,Автомат,,"Дизель, 1.95 л",Рокитне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_40031065.html
Ford Fusion 2016,10 800 $,129 тис. км,Автомат,,"Бензин, 2 л",Богуслав (Київська),Був у ДТП,https://auto.ria.com/uk/auto_ford_fusion_40031002.html
Lexus GX 2010,23 500 $,249 тис. км,Автомат,,"Газ/Бензин, 4.61 л",Дніпро (Дніпропетровськ),Не був у ДТП,https://auto.ria.com/uk/auto_lexus_gx_39886116.html
Mercedes-Benz GLE-Class 2022,77 000 $,17 тис. км,Автомат,,"Гібрид, 3 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_38951663.html
Ford Mondeo 2006,2 300 $,416 тис. км,Ручна / Механіка,,"Бензин, 2 л",Харків,Не був у ДТП,https://auto.ria.com/uk/auto_ford_mondeo_40028084.html
BMW 3 Series 2022,32 000 $,16 тис. км,Автомат,,"Бензин, 2 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_bmw_3-series_39617229.html
BMW X6 2022,81 500 $,46 тис. км,Не вказано,,"Дизель, 2.99 л",Кривий Ріг,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x6_40027372.html
Ford Focus 2015,8 000 $,204 тис. км,Ручна / Механіка,,"Бензин, 1 л",Чернігів,Не був у ДТП,https://auto.ria.com/uk/auto_ford_focus_39682753.html
Peugeot 2008 2020,18 000 $,122 тис. км,Автомат,,"Бензин, 1.2 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_peugeot_2008_40024038.html
BMW X5 2019,41 500 $,113 тис. км,Автомат,,"Бензин, 3 л",Полтава,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_39809569.html
Renault Trafic 2019,20 500 $,161 тис. км,Ручна / Механіка,,"Дизель, 2 л",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_renault_trafic_39785284.html
Mercedes-Benz C-Class 2022,45 800 $,45 тис. км,Автомат,,"Бензин, 1.5 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39611575.html
Peugeot 5008 2017,17 950 $,142 тис. км,Автомат,,"Дизель, 1.6 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_peugeot_5008_38816384.html
Audi A3 2014,11 700 $,173 тис. км,Автомат,,"Бензин, 1.8 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_audi_a3_40017315.html
Mercedes-Benz Sprinter 2019,25 900 $,178 тис. км,Автомат,,"Дизель, 2.2 л",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_40016687.html
BMW 4 Series 2020,48 000 $,99 тис. км,Автомат,,"Бензин, 3 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_bmw_4-series_40015987.html
Audi Q5 2024,55 999 $,9 тис. км,Автомат,,"Гібрид, 1.98 л",Запоріжжя,Був у ДТП,https://auto.ria.com/uk/auto_audi_q5_40013586.html
Audi Q5 2019,23 000 $,139 тис. км,Автомат,,"Бензин, 1.98 л",Рівне (Рівненська),Був у ДТП,https://auto.ria.com/uk/auto_audi_q5_40005217.html
Toyota Highlander 2025,63 000 $,13 тис. км,Варіатор,,"Гібрид, 2.49 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_toyota_highlander_40004858.html
BMW X5 2019,47 900 $,90 тис. км,Автомат,,"Бензин, 3 л",Івано-Франківськ,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x5_40004313.html
Renault Grand Scenic 2016,10 800 $,280 тис. км,Робот,,"Дизель, 1.46 л",Краматорськ,Не був у ДТП,https://auto.ria.com/uk/auto_renault_grand-scenic_38444686.html
Mercedes-Benz Sprinter 2021,34 900 $,190 тис. км,Ручна / Механіка,,"Дизель, 2.2 л",Рівне (Рівненська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_40002793.html
